ResponseID,Segment,Timestamp,Q1_Ships_Goods,Q2_Role,Q3_Annual_Shipments,Q4_Annual_Revenue,Q5_Employee_Count,Q6_Industry,Q7_Business_Model,Q8_Avg_Shipment_Value,Q9_Shipping_Regions,Q10_Company_Age,Q11_HQ_Location,Q12_Transportation_Modes,Q13_Supply_Chain_Software,Q14_Monitoring_Methods,Q15_Delays_Rate,Q15_Damage_Rate,Q15_Loss_Rate,Q15_Customs_Rate,Q15_Documentation_Rate,Q16_Advance_Notice,Q17_Risk_Manager,Q18_Have_Insurance,Q19_Purchase_Method,Q20_Coverage_Types,Q21_Insurance_Frustrations,Q22_Filed_Claim,Q23_Supply_Chain_Challenges,Q24_Annual_Disruption_Cost,Q25_Switch_Factors,Q26_Rank_Price_Cost,Q26_Rank_Coverage_comprehensiveness,Q26_Rank_Speed_of_claims_payout,Q26_Rank_Ease_of_purchase_use,Q26_Rank_Real-time_risk_data_insights,Q27_Valuable_Features,Q28_Integration_Importance,Q29_Proactive_Alerts_Value,Q30_Influential_Data_Points,Q31_Current_Insurance_Spend_Pct,Q32_WTP_50K_Shipment,Q33_SaaS_Subscription_Willingness,Q34_Tech_Adoption_Approach,Q35_Recent_Tech_Adoptions,Q36_API_Comfort,Q37_Adoption_Barriers,Q38_Interest_Level,Q39_NPS_Score,Q40_Additional_Features,Q41_Final_Thoughts,Q42_Follow_Up_Interest
R0082,tech_savvy_sme,2024-01-17 15:27:00,"Yes, both international and domestic",Procurement/Purchasing Manager,"501-1,000 shipments/year",$5M - $10M,1-10 (Micro business),Food & Beverage,Retailer,"Less than $5,000",Asia-Pacific|Europe|North America,10+ years,United States,"Courier/Express (DHL, FedEx, UPS)|Rail freight","ERP System (SAP, Oracle, NetSuite, etc.)|Shipment tracking tools (Project44, FourKites)|Transportation Management System (TMS)","Automated tracking notifications|IoT sensors (temperature, shock, location)|Periodic updates from carrier/forwarder",1-5%,1-5%,0%,6-10%,0%,2-4 weeks,Supply chain/logistics team,"Yes, we have comprehensive annual cargo insurance",Included in carrier's liability coverage,Customs seizure|Delay/late delivery|Physical damage/loss of goods|Spoilage (for perishables)|Theft,Doesn't integrate with our existing systems|Lack of transparency in pricing|One-size-fits-all pricing (doesn't reflect actual risk)|Too expensive for the coverage provided,"Yes, but the process was difficult/unsatisfactory",Inability to assess risk before shipping|Lack of real-time visibility|Unpredictable delays,Not sure/Don't track this,Better coverage options|Better customer service|Easier purchasing process,3,4,2,5,4,"API access for custom integrations|Automated claims processing|Dynamic pricing based on actual risk (not flat rates)|Instant quote generation|Mobile app for on-the-go management|Proactive alerts (weather, port delays, carrier issues)|Real-time risk scoring for each shipment",Very important (strong preference),Somewhat valuable,Carrier performance ratings (on-time %)|Port congestion levels|Weather forecasts on route,1% - 2%,$150 - $250,"No, prefer to pay per-use only",Early adopter - we love trying new tools,AI/machine learning tools (any use case)|API integrations between business systems|Automated data analytics/dashboards|Blockchain for supply chain transparency|Mobile-first business applications,Comfortable - we can handle basic integrations,None - I'm open to trying new solutions,Very interested - would request a demo/trial,8,None at this time,Hope this launches soon,Yes - keep me updated
R0083,tech_savvy_sme,2024-01-17 16:14:00,"Yes, internationally (cross-border shipments)",Other,51-200 shipments/year,$1M - $5M,11-50 (Small business),Electronics & Technology,Both B2B and B2C,"$25,000 - $50,000",Asia-Pacific|Europe|Latin America,1-3 years,Canada,Intermodal (combination),"E-commerce platform (Shopify, WooCommerce, Amazon)|Shipment tracking tools (Project44, FourKites)|Warehouse Management System (WMS)","IoT sensors (temperature, shock, location)|Real-time GPS tracking",6-10%,1-5%,0%,0%,6-10%,Less than 24 hours,CEO/Owner,Sometimes (only for high-value shipments),Annual policy through a traditional insurance broker,Physical damage/loss of goods|Spoilage (for perishables)|War/terrorism/political risk|Weather-related damage,Lack of transparency in pricing|Too expensive for the coverage provided,"No, we've never needed to",Cash flow disruption from losses|Inability to assess risk before shipping|Lack of real-time visibility,"$5,000 - $25,000",Better coverage options|Better customer service|Easier purchasing process,5,4,2,5,1,Ability to insure individual shipments (not annual policy)|Dynamic pricing based on actual risk (not flat rates)|Instant quote generation|Integration with existing logistics software|Mobile app for on-the-go management,Somewhat important (nice to have),Extremely valuable - would change our shipping decisions,Carrier performance ratings (on-time %)|Weather forecasts on route,0.1% - 0.3%,$50 - $100,"Maybe, depends on the exact features",Fast follower - we adopt once proven,AI/machine learning tools (any use case)|API integrations between business systems|Blockchain for supply chain transparency|Cloud-based ERP/supply chain software|Mobile-first business applications,Very comfortable - we have in-house developers,Concerns about data security/privacy|Time required to set up/integrate,Slightly interested - might consider in the future,5,None at this time,No additional thoughts,Yes - keep me updated
R0084,enterprise,2024-01-17 17:01:00,"Yes, both international and domestic",Procurement/Purchasing Manager,"1,001-5,000 shipments/year",$100M+,51-200 (Medium business),Pharmaceuticals/Healthcare,B2B (selling to other businesses),"$50,000 - $100,000",North America,10+ years,European Union,Intermodal (combination)|Ocean freight (container ships),"E-commerce platform (Shopify, WooCommerce, Amazon)|ERP System (SAP, Oracle, NetSuite, etc.)|Excel/Manual tracking|Shipment tracking tools (Project44, FourKites)|Warehouse Management System (WMS)","Automated tracking notifications|IoT sensors (temperature, shock, location)|Periodic updates from carrier/forwarder|Real-time GPS tracking",6-10%,11-20%,6-10%,0%,11-20%,Less than 24 hours,Operations manager,"Yes, we have basic carrier liability coverage",Annual policy through a traditional insurance broker,Customs seizure|Physical damage/loss of goods|Spoilage (for perishables)|Weather-related damage,Coverage exclusions are too broad|Poor customer service|Slow claims processing,"Yes, but the claim was denied",Carrier reliability issues|Port congestion,"$500,000+",Better customer service|Lower cost|Per-shipment flexibility|Real-time risk insights,3,2,1,4,5,Dynamic pricing based on actual risk (not flat rates)|Instant quote generation|Integration with existing logistics software|Real-time risk scoring for each shipment|Route optimization recommendations,Very important (strong preference),Extremely valuable - would change our shipping decisions,Carrier performance ratings (on-time %)|Current insurance cost for this route|Fuel price trends,1% - 2%,Less than $50,"Yes, if it includes X free insurance quotes per month",Conservative - we stick with what works,AI/machine learning tools (any use case)|API integrations between business systems|Automated data analytics/dashboards|Blockchain for supply chain transparency,Very comfortable - we have in-house developers,Concerns about data security/privacy|Regulatory/compliance concerns|Switching costs from current provider,Moderately interested - would like to learn more,6,None at this time,Price will be the deciding factor,Yes - keep me updated
R0085,enterprise,2024-01-17 17:48:00,"Yes, both international and domestic",Operations Manager,"5,000+ shipments/year",$1M - $5M,500+ (Enterprise),Electronics & Technology,B2C (selling directly to consumers),"Less than $5,000",Asia-Pacific|North America,10+ years,Asia-Pacific,Air freight|Rail freight,"ERP System (SAP, Oracle, NetSuite, etc.)|Excel/Manual tracking|Freight forwarder platform (Flexport, Freightos, etc.)|Transportation Management System (TMS)",Automated tracking notifications|Manual check-ins with vendors|Periodic updates from carrier/forwarder|Real-time GPS tracking,11-20%,1-5%,0%,11-20%,0%,4-7 days,Supply chain/logistics team,"Yes, we have comprehensive annual cargo insurance",Directly from an insurance company,Customs seizure|Delay/late delivery|Physical damage/loss of goods|Theft|War/terrorism/political risk,Complex policies (hard to understand what's covered)|Coverage exclusions are too broad,"No, but we've experienced losses",Customs/compliance issues|Managing multiple carriers/vendors|Port congestion,Not sure/Don't track this,Better customer service|Integration with existing software|Per-shipment flexibility,3,2,2,4,5,API access for custom integrations|Automated claims processing|Historical shipment risk analytics|Instant quote generation|Integration with existing logistics software,Very important (strong preference),Extremely valuable - would change our shipping decisions,Current insurance cost for this route|Historical loss rates on this route|Port congestion levels,0.5% - 1%,$100 - $150,"Yes, definitely worth it",Fast follower - we adopt once proven,API integrations between business systems|Automated data analytics/dashboards|Blockchain for supply chain transparency|IoT sensors for shipment tracking|Mobile-first business applications,Somewhat comfortable - we'd need vendor support,Concerns about data security/privacy|Regulatory/compliance concerns,Moderately interested - would like to learn more,7,Dedicated account manager,Price will be the deciding factor,No thanks
R0086,tech_savvy_sme,2024-01-17 18:35:00,"Yes, both international and domestic",Operations Manager,"501-1,000 shipments/year",$100M+,1-10 (Micro business),Automotive Parts,B2B (selling to other businesses),"$5,000 - $10,000",Africa|Asia-Pacific|Middle East,3-5 years,United Kingdom,Air freight|Intermodal (combination)|Ocean freight (container ships)|Rail freight,"ERP System (SAP, Oracle, NetSuite, etc.)|Excel/Manual tracking|Shipment tracking tools (Project44, FourKites)|Warehouse Management System (WMS)",Automated tracking notifications|Manual check-ins with vendors|Periodic updates from carrier/forwarder|Real-time GPS tracking,1-5%,0%,0%,1-5%,21%+,2-4 weeks,Operations manager,Sometimes (only for high-value shipments),Included in carrier's liability coverage,Delay/late delivery|Physical damage/loss of goods|Theft|Weather-related damage,Doesn't integrate with our existing systems|Lack of transparency in pricing|Too expensive for the coverage provided,"No, but we've experienced losses",Cash flow disruption from losses|Inability to assess risk before shipping,Not sure/Don't track this,Faster claims processing|Per-shipment flexibility|Proactive risk alerts,3,4,2,5,1,API access for custom integrations|Automated claims processing|Dynamic pricing based on actual risk (not flat rates)|Mobile app for on-the-go management,Extremely important (deal-breaker if not available),Very valuable - helpful information,Carrier performance ratings (on-time %)|Customs delay likelihood|Fuel price trends,Less than 0.1%,$50 - $100,"Yes, if it includes X free insurance quotes per month",Cautious - we prefer established solutions,API integrations between business systems|Automated data analytics/dashboards|Blockchain for supply chain transparency|Cloud-based ERP/supply chain software,Somewhat comfortable - we'd need vendor support,Concerns about data security/privacy|Time required to set up/integrate,Very interested - would request a demo/trial,8,Bulk policy management,No additional thoughts,No thanks
R0087,tech_savvy_sme,2024-01-17 19:22:00,"Yes, both international and domestic",Owner/Founder/C-Suite Executive,"501-1,000 shipments/year",$5M - $10M,201-500 (Medium-large),Consumer Goods (FMCG),B2B (selling to other businesses),"$10,000 - $25,000",North America,1-3 years,European Union,"Courier/Express (DHL, FedEx, UPS)|Ocean freight (container ships)","Freight forwarder platform (Flexport, Freightos, etc.)|Transportation Management System (TMS)|Warehouse Management System (WMS)","IoT sensors (temperature, shock, location)|Manual check-ins with vendors|Periodic updates from carrier/forwarder|Real-time GPS tracking",1-5%,1-5%,0%,6-10%,0%,4-7 days,CEO/Owner,"No, we don't have cargo insurance",N/A - No insurance,N/A - No insurance,Not applicable - we don't have insurance,"Yes, but the process was difficult/unsatisfactory",Cash flow disruption from losses|Lack of real-time visibility|Rising freight costs,Not sure/Don't track this,Better coverage options|Lower cost|Proactive risk alerts|Real-time risk insights,3,4,2,5,1,API access for custom integrations|Ability to insure individual shipments (not annual policy)|Automated claims processing|Dynamic pricing based on actual risk (not flat rates),Very important (strong preference),Extremely valuable - would change our shipping decisions,"Geopolitical risk alerts (strikes, tariffs, instability)|Historical loss rates on this route",Not applicable - we don't have insurance,$150 - $250,"Yes, definitely worth it",Fast follower - we adopt once proven,Automated data analytics/dashboards|Blockchain for supply chain transparency|Cloud-based ERP/supply chain software|Mobile-first business applications,Very comfortable - we have in-house developers,Lack of trust in a new/unknown company,Extremely interested - would sign up immediately,10,Dedicated account manager,Need buy-in from management first,Yes - keep me updated
R0088,traditional_midsize,2024-01-17 20:09:00,"Yes, both international and domestic",Finance/Risk Manager,"501-1,000 shipments/year",$5M - $10M,11-50 (Small business),Fashion & Apparel,B2B (selling to other businesses),"$50,000 - $100,000",Europe,5-10 years,United States,Air freight|Intermodal (combination),"Freight forwarder platform (Flexport, Freightos, etc.)",Automated tracking notifications|Manual check-ins with vendors|Real-time GPS tracking,11-20%,6-10%,0%,11-20%,1-5%,1-3 days,External consultant/broker,"No, we don't have cargo insurance",N/A - No insurance,N/A - No insurance,Not applicable - we don't have insurance,"No, we've never needed to",Carrier reliability issues|Rising freight costs,"$25,000 - $100,000",Faster claims processing|Integration with existing software|Per-shipment flexibility|Proactive risk alerts|Real-time risk insights,2,1,3,4,5,"Ability to insure individual shipments (not annual policy)|Automated claims processing|Instant quote generation|Proactive alerts (weather, port delays, carrier issues)|Real-time risk scoring for each shipment",Somewhat important (nice to have),Extremely valuable - would change our shipping decisions,Carrier performance ratings (on-time %)|Fuel price trends,Not applicable - we don't have insurance,$50 - $100,"Maybe, depends on the exact features",Conservative - we stick with what works,AI/machine learning tools (any use case)|Automated data analytics/dashboards,Comfortable - we can handle basic integrations,Internal resistance to change|Lack of trust in a new/unknown company|Switching costs from current provider,Extremely interested - would sign up immediately,10,Mobile app with push notifications,No additional thoughts,No thanks
R0089,enterprise,2024-01-17 20:56:00,"Yes, internationally (cross-border shipments)",Procurement/Purchasing Manager,"1,001-5,000 shipments/year",$100M+,51-200 (Medium business),E-commerce/Retail,Retailer,"$50,000 - $100,000",Europe,10+ years,European Union,Air freight|Intermodal (combination)|Rail freight,"E-commerce platform (Shopify, WooCommerce, Amazon)|Excel/Manual tracking|Freight forwarder platform (Flexport, Freightos, etc.)|Shipment tracking tools (Project44, FourKites)","Automated tracking notifications|IoT sensors (temperature, shock, location)|Manual check-ins with vendors|Real-time GPS tracking",6-10%,1-5%,0%,6-10%,0%,More than 4 weeks,Supply chain/logistics team,"Yes, we have comprehensive annual cargo insurance",Included in carrier's liability coverage,Delay/late delivery|Physical damage/loss of goods|Spoilage (for perishables)|Theft|War/terrorism/political risk|Weather-related damage,Complex policies (hard to understand what's covered)|Poor customer service|Slow claims processing,"No, but we've experienced losses",Lack of real-time visibility|Managing multiple carriers/vendors|Port congestion,"$500,000+",Faster claims processing|Per-shipment flexibility|Proactive risk alerts|Transparent pricing,4,2,1,4,5,"Automated claims processing|Dynamic pricing based on actual risk (not flat rates)|Integration with existing logistics software|Proactive alerts (weather, port delays, carrier issues)|Real-time risk scoring for each shipment|Route optimization recommendations|White-label option for customer-facing use",Extremely important (deal-breaker if not available),Somewhat valuable,Carrier performance ratings (on-time %)|Current insurance cost for this route|Customs delay likelihood,0.5% - 1%,$100 - $150,"Yes, if it includes X free insurance quotes per month",Cautious - we prefer established solutions,AI/machine learning tools (any use case)|API integrations between business systems|Automated data analytics/dashboards|Cloud-based ERP/supply chain software|Mobile-first business applications,Very comfortable - we have in-house developers,Concerns about data security/privacy|Switching costs from current provider|Time required to set up/integrate,Moderately interested - would like to learn more,8,Mobile app with push notifications,Interested in pilot program,No thanks
R0090,enterprise,2024-01-17 21:43:00,"Yes, internationally (cross-border shipments)",Supply Chain/Logistics Manager,"1,001-5,000 shipments/year",$100M+,500+ (Enterprise),Electronics & Technology,Distributor/Wholesaler,"$5,000 - $10,000",Asia-Pacific|Middle East,10+ years,Asia-Pacific,"Courier/Express (DHL, FedEx, UPS)|Ocean freight (container ships)","E-commerce platform (Shopify, WooCommerce, Amazon)|Excel/Manual tracking|Transportation Management System (TMS)|Warehouse Management System (WMS)","IoT sensors (temperature, shock, location)|Manual check-ins with vendors|Periodic updates from carrier/forwarder",1-5%,1-5%,0%,11-20%,11-20%,2-4 weeks,Supply chain/logistics team,"Yes, we have comprehensive annual cargo insurance",Through our freight forwarder,Customs seizure|Delay/late delivery|Physical damage/loss of goods|Theft|Weather-related damage,Complex policies (hard to understand what's covered)|Slow claims processing,"No, we've never needed to",Customs/compliance issues|Managing multiple carriers/vendors|Unpredictable delays,"$500,000+",Easier purchasing process|Faster claims processing|Integration with existing software|Lower cost|Per-shipment flexibility|Transparent pricing,3,2,1,4,5,"API access for custom integrations|Automated claims processing|Proactive alerts (weather, port delays, carrier issues)|Route optimization recommendations|White-label option for customer-facing use",Very important (strong preference),Very valuable - helpful information,"Fuel price trends|Geopolitical risk alerts (strikes, tariffs, instability)|Historical loss rates on this route",0.3% - 0.5%,$150 - $250,"Yes, if it includes X free insurance quotes per month",Cautious - we prefer established solutions,AI/machine learning tools (any use case)|Automated data analytics/dashboards|Blockchain for supply chain transparency|Cloud-based ERP/supply chain software|Mobile-first business applications,Somewhat comfortable - we'd need vendor support,Concerns about data security/privacy|Switching costs from current provider,Very interested - would request a demo/trial,8,Bulk policy management,No additional thoughts,Yes - keep me updated
R0091,traditional_midsize,2024-01-17 22:30:00,"Yes, internationally (cross-border shipments)",Supply Chain/Logistics Manager,51-200 shipments/year,$5M - $10M,201-500 (Medium-large),Fashion & Apparel,3PL/Freight Forwarder,"$50,000 - $100,000",Asia-Pacific|Latin America,3-5 years,United States,Air freight|Road freight (trucking),"E-commerce platform (Shopify, WooCommerce, Amazon)|Freight forwarder platform (Flexport, Freightos, etc.)|Warehouse Management System (WMS)",Real-time GPS tracking,0%,1-5%,1-5%,0%,6-10%,4-7 days,Finance/CFO,"Yes, we have basic carrier liability coverage",Annual policy through a traditional insurance broker|Online insurance platform,Customs seizure|Delay/late delivery|Physical damage/loss of goods,Poor customer service|Slow claims processing|Too expensive for the coverage provided,"No, but we've experienced losses",Damage to goods in transit|Unpredictable delays,"$100,000 - $500,000",Easier purchasing process|Faster claims processing|Real-time risk insights|Transparent pricing,2,5,3,4,5,Ability to insure individual shipments (not annual policy)|Instant quote generation|Mobile app for on-the-go management,Very important (strong preference),Somewhat valuable,"Carrier performance ratings (on-time %)|Geopolitical risk alerts (strikes, tariffs, instability)|Weather forecasts on route",0.3% - 0.5%,$100 - $150,"Yes, if it includes X free insurance quotes per month",Cautious - we prefer established solutions,AI/machine learning tools (any use case)|Cloud-based ERP/supply chain software|IoT sensors for shipment tracking,Comfortable - we can handle basic integrations,Internal resistance to change|Lack of trust in a new/unknown company|Regulatory/compliance concerns,Moderately interested - would like to learn more,6,None at this time,"Sounds interesting, would like to see a demo",No thanks
R0092,traditional_midsize,2024-01-17 23:17:00,"Yes, internationally (cross-border shipments)",Operations Manager,"501-1,000 shipments/year",Less than $500K,201-500 (Medium-large),Pharmaceuticals/Healthcare,Distributor/Wholesaler,"Less than $5,000",Latin America|North America,5-10 years,European Union,Air freight|Road freight (trucking),Transportation Management System (TMS),Manual check-ins with vendors|Periodic updates from carrier/forwarder,11-20%,6-10%,1-5%,1-5%,0%,1-2 weeks,Operations manager,"Yes, we have basic carrier liability coverage",Annual policy through a traditional insurance broker|Through our freight forwarder,Customs seizure|Physical damage/loss of goods|War/terrorism/political risk|Weather-related damage,Complex policies (hard to understand what's covered)|Slow claims processing|Too expensive for the coverage provided,"No, we've never needed to",Damage to goods in transit|Managing multiple carriers/vendors|Rising freight costs,"$5,000 - $25,000",Better coverage options|Better customer service|Easier purchasing process|Transparent pricing,2,1,3,4,5,Ability to insure individual shipments (not annual policy)|Automated claims processing|Instant quote generation|Mobile app for on-the-go management,Very important (strong preference),Not valuable - we prefer to make our own decisions,Carrier performance ratings (on-time %)|Historical loss rates on this route|Port congestion levels,0.5% - 1%,$100 - $150,"Maybe, depends on the exact features",Resistant - we avoid change unless necessary,AI/machine learning tools (any use case)|Automated data analytics/dashboards,Comfortable - we can handle basic integrations,Internal resistance to change|Switching costs from current provider,Moderately interested - would like to learn more,7,Automated risk reports sent weekly,No additional thoughts,Yes - keep me updated
R0093,price_sensitive_small,2024-01-18 00:04:00,"Yes, domestically only (within one country)",Owner/Founder/C-Suite Executive,201-500 shipments/year,$500K - $1M,1-10 (Micro business),Food & Beverage,Distributor/Wholesaler,"$5,000 - $10,000",Asia-Pacific|North America,5-10 years,Asia-Pacific,Intermodal (combination)|Ocean freight (container ships)|Road freight (trucking),Excel/Manual tracking,We don't actively monitor shipments,6-10%,0%,0%,6-10%,6-10%,Less than 24 hours,Operations manager,"Yes, we have basic carrier liability coverage",Through our freight forwarder,Customs seizure|Delay/late delivery,Too expensive for the coverage provided,"Yes, and it was resolved satisfactorily",Cash flow disruption from losses|Difficulty accessing insurance|Rising freight costs,"Less than $5,000",Better coverage options|Better customer service|Faster claims processing|Integration with existing software|Proactive risk alerts|Real-time risk insights,1,2,2,4,5,Automated claims processing|Mobile app for on-the-go management,Not important (happy to use a separate tool),Very valuable - helpful information,Carrier performance ratings (on-time %)|Current insurance cost for this route|Port congestion levels,0.3% - 0.5%,$150 - $250,"Yes, if it includes X free insurance quotes per month",Fast follower - we adopt once proven,Mobile-first business applications,Somewhat comfortable - we'd need vendor support,Budget constraints|Time required to set up/integrate|Uncertainty about actual cost savings,Not interested - happy with current solution,2,None at this time,No additional thoughts,No thanks
R0094,tech_savvy_sme,2024-01-18 00:51:00,"Yes, domestically only (within one country)",Supply Chain/Logistics Manager,"501-1,000 shipments/year",$5M - $10M,1-10 (Micro business),Pharmaceuticals/Healthcare,Both B2B and B2C,"$10,000 - $25,000",North America,5-10 years,Other,Ocean freight (container ships),"E-commerce platform (Shopify, WooCommerce, Amazon)|Freight forwarder platform (Flexport, Freightos, etc.)|Warehouse Management System (WMS)",Automated tracking notifications|Periodic updates from carrier/forwarder|Real-time GPS tracking,1-5%,1-5%,0%,0%,0%,More than 4 weeks,Finance/CFO,"No, we don't have cargo insurance",N/A - No insurance,N/A - No insurance,Not applicable - we don't have insurance,"Yes, and it was resolved satisfactorily",Cash flow disruption from losses|Inability to assess risk before shipping,"$25,000 - $100,000",Easier purchasing process|Faster claims processing|Integration with existing software|Per-shipment flexibility|Proactive risk alerts|Transparent pricing,4,4,2,5,1,"API access for custom integrations|Integration with existing logistics software|Proactive alerts (weather, port delays, carrier issues)|Real-time risk scoring for each shipment",Extremely important (deal-breaker if not available),Somewhat valuable,Historical loss rates on this route|Port congestion levels,Not applicable - we don't have insurance,$50 - $100,"Yes, if it includes X free insurance quotes per month",Fast follower - we adopt once proven,API integrations between business systems|Blockchain for supply chain transparency|IoT sensors for shipment tracking,Comfortable - we can handle basic integrations,Time required to set up/integrate,Extremely interested - would sign up immediately,10,Bulk policy management,No additional thoughts,Yes - keep me updated
R0095,price_sensitive_small,2024-01-18 01:38:00,"Yes, internationally (cross-border shipments)",Owner/Founder/C-Suite Executive,51-200 shipments/year,$1M - $5M,11-50 (Small business),Food & Beverage,Manufacturer,"$25,000 - $50,000",Asia-Pacific|North America,3-5 years,European Union,Ocean freight (container ships),None of the above,Automated tracking notifications|Manual check-ins with vendors,6-10%,0%,0%,1-5%,0%,2-4 weeks,CEO/Owner,"Yes, we have comprehensive annual cargo insurance",Online insurance platform|Through our freight forwarder,Customs seizure|Delay/late delivery|Spoilage (for perishables)|Theft,Complex policies (hard to understand what's covered)|Difficult to purchase/too much paperwork|Too expensive for the coverage provided,"No, but we've experienced losses",Damage to goods in transit|Difficulty accessing insurance|Rising freight costs,"$5,000 - $25,000",Better coverage options|Better customer service|Easier purchasing process|Integration with existing software|Per-shipment flexibility,1,2,2,4,5,Instant quote generation|Mobile app for on-the-go management,Very important (strong preference),Very valuable - helpful information,"Carrier performance ratings (on-time %)|Geopolitical risk alerts (strikes, tariffs, instability)|Historical loss rates on this route",0.3% - 0.5%,Less than $50,"Yes, if it includes X free insurance quotes per month",Conservative - we stick with what works,API integrations between business systems,Not comfortable - we prefer plug-and-play solutions,Budget constraints|Uncertainty about actual cost savings,Moderately interested - would like to learn more,7,Bulk policy management,No additional thoughts,No thanks
R0096,price_sensitive_small,2024-01-18 02:25:00,"Yes, domestically only (within one country)",Procurement/Purchasing Manager,201-500 shipments/year,$1M - $5M,51-200 (Medium business),Automotive Parts,Retailer,"$10,000 - $25,000",Asia-Pacific|Middle East|North America,5-10 years,European Union,Air freight,None of the above,Periodic updates from carrier/forwarder,0%,6-10%,0%,1-5%,6-10%,Less than 24 hours,CEO/Owner,"No, we don't have cargo insurance",N/A - No insurance,N/A - No insurance,Not applicable - we don't have insurance,"Yes, but the claim was denied",Damage to goods in transit|Difficulty accessing insurance|Rising freight costs,"$5,000 - $25,000",Better customer service|Integration with existing software|Lower cost|Per-shipment flexibility|Real-time risk insights,1,3,2,4,5,Ability to insure individual shipments (not annual policy)|Dynamic pricing based on actual risk (not flat rates)|Instant quote generation,Somewhat important (nice to have),Very valuable - helpful information,Carrier performance ratings (on-time %)|Current insurance cost for this route|Historical loss rates on this route,Not applicable - we don't have insurance,$50 - $100,"No, prefer to pay per-use only",Resistant - we avoid change unless necessary,Cloud-based ERP/supply chain software|Mobile-first business applications,Not sure/Don't know,Time required to set up/integrate|Uncertainty about actual cost savings,Moderately interested - would like to learn more,7,Dedicated account manager,No additional thoughts,Yes - keep me updated
R0097,traditional_midsize,2024-01-18 03:12:00,"Yes, both international and domestic",Operations Manager,51-200 shipments/year,$5M - $10M,201-500 (Medium-large),E-commerce/Retail,Both B2B and B2C,"$100,000 - $500,000",Middle East,1-3 years,United States,"Air freight|Courier/Express (DHL, FedEx, UPS)|Ocean freight (container ships)","E-commerce platform (Shopify, WooCommerce, Amazon)|Transportation Management System (TMS)",Periodic updates from carrier/forwarder|Real-time GPS tracking,6-10%,1-5%,0%,6-10%,1-5%,1-3 days,CEO/Owner,"Yes, we have basic carrier liability coverage",Annual policy through a traditional insurance broker|Through our freight forwarder,Physical damage/loss of goods|Spoilage (for perishables)|War/terrorism/political risk|Weather-related damage,Poor customer service|Slow claims processing|Too expensive for the coverage provided,"No, but we've experienced losses",Damage to goods in transit|Rising freight costs|Unpredictable delays,"$100,000 - $500,000",Faster claims processing|Integration with existing software|Real-time risk insights,4,1,3,4,5,"Dynamic pricing based on actual risk (not flat rates)|Instant quote generation|Proactive alerts (weather, port delays, carrier issues)",Somewhat important (nice to have),Extremely valuable - would change our shipping decisions,"Fuel price trends|Geopolitical risk alerts (strikes, tariffs, instability)",0.3% - 0.5%,$150 - $250,"Yes, if it includes X free insurance quotes per month",Fast follower - we adopt once proven,Automated data analytics/dashboards,Comfortable - we can handle basic integrations,Internal resistance to change|Switching costs from current provider,Slightly interested - might consider in the future,5,Dedicated account manager,Need buy-in from management first,Yes - keep me updated
R0098,enterprise,2024-01-18 03:59:00,"Yes, internationally (cross-border shipments)",Supply Chain/Logistics Manager,"5,000+ shipments/year",$50M - $100M,500+ (Enterprise),Manufacturing (Industrial goods),Manufacturer,"Less than $5,000",North America,10+ years,Canada,Air freight|Ocean freight (container ships),"ERP System (SAP, Oracle, NetSuite, etc.)|Excel/Manual tracking|Shipment tracking tools (Project44, FourKites)|Transportation Management System (TMS)|Warehouse Management System (WMS)","IoT sensors (temperature, shock, location)|Manual check-ins with vendors|Periodic updates from carrier/forwarder|Real-time GPS tracking",1-5%,0%,0%,0%,0%,1-2 weeks,Dedicated risk/insurance manager,"Yes, we have comprehensive annual cargo insurance",Annual policy through a traditional insurance broker|Included in carrier's liability coverage,Customs seizure|Delay/late delivery|Theft|Weather-related damage,Poor customer service|Slow claims processing,"Yes, but the process was difficult/unsatisfactory",Carrier reliability issues|Port congestion,"$25,000 - $100,000",Easier purchasing process|Integration with existing software|Lower cost|Per-shipment flexibility,3,2,1,4,5,"Automated claims processing|Dynamic pricing based on actual risk (not flat rates)|Historical shipment risk analytics|Instant quote generation|Integration with existing logistics software|Proactive alerts (weather, port delays, carrier issues)|Route optimization recommendations|White-label option for customer-facing use",Extremely important (deal-breaker if not available),Somewhat valuable,Fuel price trends|Historical loss rates on this route|Port congestion levels,0.5% - 1%,Less than $50,"Maybe, depends on the exact features",Cautious - we prefer established solutions,AI/machine learning tools (any use case)|API integrations between business systems|Automated data analytics/dashboards|Blockchain for supply chain transparency|Cloud-based ERP/supply chain software|IoT sensors for shipment tracking,Comfortable - we can handle basic integrations,Regulatory/compliance concerns|Time required to set up/integrate,Slightly interested - might consider in the future,5,Real-time chat support,No additional thoughts,Yes - keep me updated
